Datetime,NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),NH3 (ug/m3)
2019-11-07 13:00:00,22.0,32.1,0.7,84.98,125.25,80.75,21.55
2019-11-07 14:00:00,9.12,20.75,0.64,84.53,113.5,75.75,13.43
2019-11-07 15:00:00,7.15,22.17,0.62,88.95,102.25,71.25,13.3
2019-11-07 16:00:00,7.88,17.65,0.63,88.12,99.25,68.25,13.03
2019-11-07 17:00:00,7.22,17.95,0.65,85.8,99.25,68.0,13.78
2019-11-07 18:00:00,18.65,18.85,0.85,64.38,114.25,72.0,12.25
2019-11-07 19:00:00,39.7,18.33,1.04,44.17,139.0,78.0,14.1
2019-11-07 20:00:00,28.12,17.35,0.99,41.1,154.25,88.25,14.75
2019-11-07 21:00:00,20.2,17.75,0.82,47.83,139.75,90.5,14.18
2019-11-07 22:00:00,19.48,16.6,0.78,47.53,137.75,85.25,13.73
2019-11-07 23:00:00,23.93,17.12,0.78,42.62,134.0,83.0,13.43
2019-11-08 00:00:00,23.18,15.3,0.83,30.73,144.0,94.25,13.18
2019-11-08 01:00:00,14.58,11.85,0.76,32.05,145.0,96.0,13.32
2019-11-08 02:00:00,14.57,10.4,0.75,21.73,147.25,89.25,13.05
2019-11-08 03:00:00,20.12,10.15,0.75,16.05,141.5,88.0,13.5
2019-11-08 04:00:00,12.45,8.4,0.7,24.1,124.25,85.5,13.4
2019-11-08 05:00:00,7.97,8.32,0.71,21.2,103.0,69.75,12.98
2019-11-08 06:00:00,7.38,8.5,0.76,24.6,102.0,73.0,12.93
2019-11-08 07:00:00,8.82,12.88,0.72,25.0,109.5,78.75,13.3
2019-11-08 08:00:00,15.9,13.95,0.77,23.9,114.0,87.0,12.38
2019-11-08 09:00:00,9.0,13.7,0.76,34.1,119.0,81.0,13.4
2019-11-08 10:00:00,,,,,,,
2019-11-08 11:00:00,10.0,28.9,0.69,60.2,131.0,74.5,14.92
2019-11-08 12:00:00,11.3,40.35,5.17,78.4,135.0,72.0,16.6
2019-11-08 13:00:00,19.33,37.7,0.6,89.47,140.75,71.25,14.73
2019-11-08 14:00:00,9.03,39.55,0.58,96.42,123.0,76.25,13.85
2019-11-08 15:00:00,7.9,39.85,0.54,101.95,121.0,70.25,14.57
2019-11-08 16:00:00,6.88,32.92,0.66,101.92,107.75,69.5,14.75
2019-11-08 17:00:00,9.1,31.77,0.66,85.17,116.5,74.25,13.2
2019-11-08 18:00:00,9.62,23.93,0.74,76.65,127.0,74.75,14.07
2019-11-08 19:00:00,12.35,21.77,0.83,64.92,129.5,79.25,14.77
2019-11-08 20:00:00,24.8,19.77,0.95,45.17,143.75,94.5,14.28
2019-11-08 21:00:00,20.68,21.38,0.85,50.42,160.0,93.5,14.62
2019-11-08 22:00:00,17.62,19.75,0.8,49.77,145.0,93.5,14.22
2019-11-08 23:00:00,13.32,19.17,0.77,54.23,134.0,88.5,13.65
2019-11-09 00:00:00,10.77,17.12,0.73,50.27,125.75,86.0,13.05
2019-11-09 01:00:00,7.15,16.38,0.68,44.8,118.25,83.0,13.38
2019-11-09 02:00:00,7.5,15.02,0.68,33.83,119.75,83.0,13.68
2019-11-09 03:00:00,9.9,13.32,0.69,29.6,131.25,84.0,13.85
2019-11-09 04:00:00,11.68,13.5,0.69,30.32,137.25,87.75,13.65
2019-11-09 05:00:00,9.45,13.85,0.7,26.92,145.5,89.0,13.78
2019-11-09 06:00:00,6.55,13.25,0.66,34.1,119.5,85.5,13.7
2019-11-09 07:00:00,7.22,12.95,0.74,34.23,111.25,83.25,13.75
2019-11-09 08:00:00,6.93,13.7,0.73,39.88,118.25,80.25,14.17
2019-11-09 09:00:00,5.83,18.45,0.7,54.08,122.25,78.5,14.12
2019-11-09 10:00:00,5.88,32.5,0.66,70.03,137.0,78.75,14.03
2019-11-09 11:00:00,5.85,43.15,0.61,81.7,150.5,74.25,14.53
2019-11-09 12:00:00,5.8,35.92,0.51,94.33,141.25,72.0,14.45
2019-11-09 13:00:00,16.45,30.25,0.66,99.97,124.25,70.0,13.93
2019-11-09 14:00:00,4.95,35.1,0.65,100.83,111.75,63.75,15.65
2019-11-09 15:00:00,4.6,27.93,0.64,100.65,99.0,63.0,13.62
2019-11-09 16:00:00,4.65,23.18,0.71,95.55,97.0,62.0,13.27
2019-11-09 17:00:00,5.1,20.02,0.82,93.35,101.25,61.5,13.9
2019-11-09 18:00:00,7.4,18.52,0.94,77.12,119.75,70.0,13.82
2019-11-09 19:00:00,12.93,13.12,0.95,60.7,145.75,77.0,14.55
2019-11-09 20:00:00,13.9,12.23,0.94,51.25,163.5,85.25,13.65
2019-11-09 21:00:00,21.88,14.9,1.03,36.95,143.0,78.0,14.48
2019-11-09 22:00:00,19.77,16.18,0.95,39.45,155.5,89.5,13.8
2019-11-09 23:00:00,13.38,13.68,0.85,31.07,143.25,85.0,13.23
2019-11-10 00:00:00,8.97,11.62,0.83,28.95,123.5,76.0,12.72
2019-11-10 01:00:00,7.05,12.93,0.67,29.25,103.5,72.5,12.38
2019-11-10 02:00:00,7.2,11.23,0.65,30.57,93.0,61.75,12.12
2019-11-10 03:00:00,8.18,11.05,0.64,34.5,95.25,62.25,12.93
2019-11-10 04:00:00,7.32,12.3,0.64,43.85,100.0,65.75,11.83
2019-11-10 05:00:00,7.55,11.88,0.69,28.1,97.0,65.25,11.93
2019-11-10 06:00:00,7.98,10.32,0.71,29.15,102.25,66.5,12.55
2019-11-10 07:00:00,6.6,9.35,0.7,28.5,91.75,69.5,13.05
2019-11-10 08:00:00,6.03,9.23,0.69,29.55,94.0,74.0,13.52
2019-11-10 09:00:00,7.22,15.35,0.76,39.88,96.75,68.25,12.85
2019-11-10 10:00:00,8.32,17.73,0.7,50.68,117.25,70.0,12.75
2019-11-10 11:00:00,8.35,12.47,0.65,65.53,110.0,60.5,11.7
2019-11-10 12:00:00,6.7,8.7,0.54,68.3,80.5,48.5,11.4
2019-11-10 13:00:00,5.9,15.0,0.54,69.75,63.25,43.0,11.15
2019-11-10 14:00:00,6.1,25.52,0.45,67.67,57.75,38.0,10.68
2019-11-10 15:00:00,6.38,14.27,0.44,63.35,45.5,28.0,10.12
2019-11-10 16:00:00,6.23,14.28,0.47,61.45,43.0,23.5,10.32
