Datetime,CO (mg/m3),NOx (ppb),Ozone (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3)
2019-11-11 05:00:00,0.98,21.16,10.08,88.59,16.72
2019-11-11 06:00:00,1.07,25.14,8.15,105.25,17.94
2019-11-11 07:00:00,1.17,26.27,6.62,93.94,17.23
2019-11-11 08:00:00,1.13,23.83,9.42,85.57,15.61
2019-11-11 09:00:00,1.03,21.23,17.27,86.13,4.06
2019-11-11 10:00:00,1.24,17.78,34.37,,2.56
2019-11-11 11:00:00,,,,,
2019-11-11 12:00:00,,,,,
2019-11-11 13:00:00,0.27,7.48,24.8,,
2019-11-11 14:00:00,1.11,21.6,49.04,,12.02
2019-11-11 15:00:00,0.91,22.39,162.09,76.02,7.99
2019-11-11 16:00:00,1.07,20.98,188.64,48.22,2.97
2019-11-11 17:00:00,0.95,21.71,72.95,60.33,2.54
2019-11-11 18:00:00,1.04,22.01,12.15,18.68,3.79
2019-11-11 19:00:00,1.16,27.6,6.4,18.72,2.79
2019-11-11 20:00:00,1.17,29.64,6.54,42.35,3.18
2019-11-11 21:00:00,1.26,26.79,7.34,56.29,1.6
2019-11-11 22:00:00,1.13,21.7,10.04,35.76,0.13
2019-11-11 23:00:00,1.04,32.58,7.69,30.22,0.01
2019-11-12 00:00:00,0.94,32.94,7.02,32.96,3.4
2019-11-12 01:00:00,1.08,31.97,8.59,34.86,3.12
2019-11-12 02:00:00,1.06,37.75,6.59,32.82,2.71
2019-11-12 03:00:00,1.03,36.25,6.89,49.49,2.32
2019-11-12 04:00:00,1.05,29.33,6.79,38.3,2.28
2019-11-12 05:00:00,0.85,28.37,6.64,54.39,3.42
2019-11-12 06:00:00,0.79,34.09,7.88,72.07,5.01
2019-11-12 07:00:00,0.77,55.76,4.2,68.79,6.05
2019-11-12 08:00:00,0.76,75.5,4.15,81.32,6.56
2019-11-12 09:00:00,0.75,29.63,4.58,53.37,6.54
2019-11-12 10:00:00,0.77,24.13,12.26,2.06,3.24
