Date,City,AQI
2015-08-06,Ujjain,
2015-08-07,Pithampur,
2015-08-07,Ujjain,
2015-08-08,Pithampur,
2015-08-08,Ujjain,
2015-08-09,Pithampur,
2015-08-09,Ujjain,
2015-08-10,Pithampur,
2015-08-10,Ujjain,
2015-08-11,Pithampur,
2015-08-11,Ujjain,
2015-08-12,Pithampur,
2015-08-12,Ujjain,
2015-08-13,Pithampur,
2015-08-13,Ujjain,
2015-08-14,Pithampur,
2015-08-14,Ujjain,
2015-08-15,Pithampur,
2015-08-15,Ujjain,
2015-08-16,Pithampur,
2015-08-16,Ujjain,
2015-08-17,Pithampur,
2015-08-17,Ujjain,
2015-08-18,Pithampur,
2015-08-18,Ujjain,
2015-08-19,Pithampur,
2015-08-19,Ujjain,
2015-08-20,Pithampur,
2015-08-20,Ujjain,
2015-08-21,Pithampur,
2015-08-21,Ujjain,
2015-08-22,Pithampur,
2015-08-22,Ujjain,
2015-08-23,Pithampur,
2015-08-23,Ujjain,
2015-08-24,Pithampur,
2015-08-24,Ujjain,
2015-08-25,Pithampur,
2015-08-25,Ujjain,
2015-08-26,Pithampur,
2015-08-26,Ujjain,
2015-08-27,Pithampur,
2015-08-27,Ujjain,
2015-08-28,Pithampur,
2015-08-28,Ujjain,
2015-08-29,Pithampur,
2015-08-29,Ujjain,
2015-08-30,Pithampur,
2015-08-30,Ujjain,
2015-08-31,Pithampur,
2015-08-31,Ujjain,
2015-09-01,Pithampur,
2015-09-01,Ujjain,
2015-09-02,Pithampur,
2015-09-02,Ujjain,
2015-09-03,Pithampur,
2015-09-03,Ujjain,
2015-09-04,Pithampur,
2015-09-04,Ujjain,
2015-09-05,Pithampur,
2015-09-05,Ujjain,
2015-09-06,Pithampur,
2015-09-06,Ujjain,
2015-09-07,Pithampur,
2015-09-07,Ujjain,
2015-09-08,Pithampur,
2015-09-08,Ujjain,
2015-09-09,Pithampur,
2015-09-09,Ujjain,
2015-09-10,Pithampur,
2015-09-10,Ujjain,
2015-09-11,Pithampur,
2015-09-11,Ujjain,
2015-09-12,Pithampur,
2015-09-12,Ujjain,
2015-09-13,Pithampur,
2015-09-13,Ujjain,
2015-09-14,Pithampur,
2015-09-14,Ujjain,
2015-09-15,Pithampur,
2015-09-15,Ujjain,
2015-09-16,Pithampur,
2015-09-16,Ujjain,
2015-09-17,Pithampur,
2015-09-17,Ujjain,
2015-09-18,Pithampur,
2015-09-18,Ujjain,
2015-09-19,Pithampur,
2015-09-19,Ujjain,
2015-09-20,Pithampur,
2015-09-20,Ujjain,
2015-09-21,Pithampur,
2015-09-21,Ujjain,
2015-09-22,Pithampur,
2015-09-22,Ujjain,
2015-09-23,Pithampur,
2015-09-23,Ujjain,
2015-09-24,Pithampur,
2015-09-24,Ujjain,
2015-09-25,Pithampur,
2015-09-25,Ujjain,
2015-09-26,Pithampur,
2015-09-26,Ujjain,
2015-09-27,Pithampur,
2015-09-27,Ujjain,
2015-09-28,Pithampur,
2015-09-28,Ujjain,
2015-09-29,Pithampur,
2015-09-29,Ujjain,
2015-09-30,Pithampur,
2015-09-30,Ujjain,
2015-10-01,Pithampur,
2015-10-01,Ujjain,
2015-10-02,Pithampur,
2015-10-02,Ujjain,
2015-10-03,Pithampur,
2015-10-03,Ujjain,
2015-10-04,Pithampur,
2015-10-04,Ujjain,
2015-10-05,Pithampur,
2015-10-05,Ujjain,
2015-10-06,Pithampur,
2015-10-06,Ujjain,
2015-10-07,Pithampur,
2015-10-07,Ujjain,
2015-10-08,Pithampur,
2015-10-08,Ujjain,
2015-10-09,Pithampur,
2015-10-09,Ujjain,
2015-10-10,Pithampur,
2015-10-10,Ujjain,
2015-10-11,Pithampur,
2015-10-11,Ujjain,
2015-10-12,Pithampur,
2015-10-12,Ujjain,
2015-10-13,Pithampur,
2015-10-13,Ujjain,
2015-10-14,Pithampur,
2015-10-14,Ujjain,
2015-10-15,Pithampur,
2015-10-15,Ujjain,
2015-10-16,Pithampur,
2015-10-16,Ujjain,
2015-10-17,Pithampur,
2015-10-17,Ujjain,
2015-10-18,Pithampur,
2015-10-18,Ujjain,
2015-10-19,Pithampur,
2015-10-19,Ujjain,
2015-10-20,Pithampur,
2015-10-20,Ujjain,
2015-10-21,Pithampur,
2015-10-21,Ujjain,
2015-10-22,Pithampur,
2015-10-22,Ujjain,
2015-10-23,Pithampur,
2015-10-23,Ujjain,
2015-10-24,Pithampur,
2015-10-24,Ujjain,
2015-10-25,Pithampur,
2015-10-25,Ujjain,
2015-10-26,Pithampur,
2015-10-26,Ujjain,
2015-10-27,Pithampur,
2015-10-27,Ujjain,
2015-10-28,Pithampur,
2015-10-28,Ujjain,
2015-10-29,Pithampur,
2015-10-29,Ujjain,
2015-10-30,Pithampur,
2015-10-30,Ujjain,
2015-10-31,Pithampur,
2015-10-31,Ujjain,
2015-11-01,Pithampur,
2015-11-01,Ujjain,
2015-11-02,Pithampur,
2015-11-02,Ujjain,
2015-11-03,Pithampur,
2015-11-03,Ujjain,
2015-11-04,Pithampur,
2015-11-04,Ujjain,
2015-11-05,Pithampur,
2015-11-05,Ujjain,
2015-11-06,Pithampur,
2015-11-06,Ujjain,
2015-11-07,Pithampur,
2015-11-07,Ujjain,
2015-11-08,Pithampur,
2015-11-08,Ujjain,
2015-11-09,Pithampur,
2015-11-09,Ujjain,
2015-11-10,Pithampur,
2015-11-10,Ujjain,
2015-11-11,Pithampur,
2015-11-11,Ujjain,
2015-11-12,Pithampur,
2015-11-12,Ujjain,
2015-11-13,Pithampur,
2015-11-13,Ujjain,
2015-11-14,Pithampur,
2015-11-14,Ujjain,
2015-11-15,Pithampur,
2015-11-15,Ujjain,
2015-11-16,Pithampur,
2015-11-16,Ujjain,
