Datetime,NOx (ppb),Ozone (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),CO (mg/m3),PM10 (ug/m3),NH3 (ug/m3)
2020-08-17 18:00:00,10.64,49.24,17.74,8.26,0.54,41.27,112.38
2020-08-17 19:00:00,11.47,45.3,17.08,10.09,0.54,54.62,111.98
2020-08-17 20:00:00,13.01,44.38,17.58,7.48,0.54,53.62,111.03
2020-08-17 21:00:00,14.6,41.01,21.92,8.77,0.54,50.43,111.65
2020-08-17 22:00:00,14.56,38.69,24.49,6.59,0.55,54.8,112.67
2020-08-17 23:00:00,12.88,40.73,26.97,4.71,0.54,30.61,114.47
2020-08-18 00:00:00,12.45,45.48,26.59,6.94,0.54,95.3,115.65
2020-08-18 01:00:00,11.35,44.96,22.86,6.47,0.55,89.31,36.69
2020-08-18 02:00:00,8.68,46.71,21.56,8.27,0.54,67.38,37.11
2020-08-18 03:00:00,8.08,47.58,19.99,8.91,0.54,56.62,37.54
2020-08-18 04:00:00,8.06,48.23,17.41,6.12,0.54,64.38,37.72
2020-08-18 05:00:00,8.07,45.75,15.62,4.91,0.54,53.42,37.84
2020-08-18 06:00:00,8.19,46.53,18.19,6.29,0.54,50.84,38.0
2020-08-18 07:00:00,8.1,45.6,22.18,6.88,0.53,51.66,37.97
2020-08-18 08:00:00,8.19,48.61,24.35,6.53,0.54,75.53,37.97
2020-08-18 09:00:00,7.88,48.89,27.01,7.46,0.54,67.54,38.3
2020-08-18 10:00:00,10.0,49.12,26.74,7.03,0.54,64.12,37.03
2020-08-18 11:00:00,9.11,49.28,27.43,6.1,0.54,59.89,37.21
2020-08-18 12:00:00,9.47,50.74,29.9,8.11,0.54,71.74,37.0
2020-08-18 13:00:00,15.96,52.13,31.82,11.2,0.53,74.16,33.68
2020-08-18 14:00:00,16.4,52.81,34.32,6.71,0.54,56.74,34.27
2020-08-18 15:00:00,16.61,46.92,31.58,3.07,0.53,34.97,33.8
2020-08-18 16:00:00,16.15,47.08,28.52,6.16,0.54,41.21,33.52
2020-08-18 17:00:00,12.01,48.28,27.35,5.88,0.55,48.56,35.99
2020-08-18 18:00:00,12.51,48.62,27.75,6.54,0.55,52.28,35.42
2020-08-18 19:00:00,16.69,39.66,29.79,7.18,0.54,68.51,31.92
2020-08-18 20:00:00,19.16,46.16,39.27,6.96,0.54,81.44,30.27
2020-08-18 21:00:00,16.09,46.3,45.03,8.98,0.55,86.74,32.19
2020-08-18 22:00:00,13.5,48.8,45.99,8.99,0.54,82.87,34.64
2020-08-18 23:00:00,11.98,47.46,56.92,14.91,0.55,102.71,35.97
2020-08-19 00:00:00,10.93,42.42,68.84,7.03,0.54,119.57,37.89
2020-08-19 01:00:00,10.18,39.62,110.26,6.3,0.55,135.49,37.21
2020-08-19 02:00:00,9.66,39.61,91.57,6.44,0.54,135.87,37.11
2020-08-19 03:00:00,8.51,40.59,71.7,6.45,0.55,125.99,37.97
2020-08-19 04:00:00,9.25,38.43,40.64,6.15,0.54,110.98,37.6
2020-08-19 05:00:00,8.81,39.27,22.04,6.24,0.54,86.5,37.98
2020-08-19 06:00:00,8.62,46.08,17.89,6.92,0.55,61.78,38.31
2020-08-19 07:00:00,8.46,47.98,15.86,6.26,0.55,58.87,39.05
2020-08-19 08:00:00,8.87,48.22,9.44,5.17,0.54,53.66,39.03
2020-08-19 09:00:00,9.57,47.91,5.28,5.28,0.54,41.91,38.9
2020-08-19 10:00:00,10.62,58.76,3.56,6.52,0.54,36.82,38.12
2020-08-19 11:00:00,12.75,43.6,3.67,5.24,0.53,42.54,35.76
2020-08-19 12:00:00,13.34,57.48,4.09,7.65,0.54,46.22,35.02
2020-08-19 13:00:00,,47.31,,8.63,0.54,20.1,35.41
2020-08-19 14:00:00,,49.86,,8.63,0.54,93.9,33.84
2020-08-19 15:00:00,,63.14,1.41,12.22,0.54,84.46,34.85
2020-08-19 16:00:00,,73.45,9.46,3.96,0.54,71.45,37.11
2020-08-19 17:00:00,,13.05,15.16,2.66,0.54,65.0,36.95
2020-08-19 18:00:00,,36.19,11.79,3.22,0.55,70.16,
2020-08-19 19:00:00,,39.99,14.58,6.07,0.54,63.08,
2020-08-19 20:00:00,,38.42,18.81,2.44,0.55,39.5,20.98
2020-08-19 21:00:00,57.61,38.38,17.95,5.3,0.54,104.19,19.7
2020-08-19 22:00:00,86.7,43.03,29.95,2.9,0.54,93.69,19.58
2020-08-19 23:00:00,75.14,35.3,26.89,1.46,0.54,89.68,21.53
2020-08-20 00:00:00,62.59,34.38,20.23,4.22,0.54,71.07,24.51
2020-08-20 01:00:00,44.52,34.03,29.74,3.16,0.53,76.1,15.64
2020-08-20 02:00:00,18.2,41.52,25.34,7.12,0.54,53.12,19.96
2020-08-20 03:00:00,17.39,39.74,19.78,6.82,0.54,52.45,20.83
2020-08-20 04:00:00,16.78,36.11,20.54,6.27,0.55,45.99,21.33
2020-08-20 05:00:00,15.75,33.16,22.21,7.2,0.55,44.7,21.44
2020-08-20 06:00:00,12.27,34.64,29.19,5.01,0.53,58.11,21.65
2020-08-20 07:00:00,13.57,32.3,27.25,5.03,0.53,67.99,22.81
2020-08-20 08:00:00,15.41,31.77,26.95,4.69,0.54,63.97,20.98
2020-08-20 09:00:00,14.2,36.39,29.44,3.85,0.55,55.88,21.68
2020-08-20 10:00:00,13.66,38.99,28.88,3.44,0.54,55.75,20.53
2020-08-20 11:00:00,15.22,40.84,30.19,3.12,0.55,60.12,20.66
2020-08-20 12:00:00,20.93,43.41,26.89,7.18,0.54,54.29,16.27
2020-08-20 13:00:00,22.02,44.21,17.82,9.42,0.54,49.66,15.83
2020-08-20 14:00:00,22.76,47.2,9.96,2.1,0.54,294.07,18.37
2020-08-20 15:00:00,,51.94,14.62,,0.54,312.07,20.31
2020-08-20 16:00:00,,52.8,10.27,2.85,0.55,65.0,19.97
2020-08-20 17:00:00,,47.48,14.93,11.12,0.54,46.2,17.11
2020-08-20 18:00:00,30.34,44.83,16.7,2.8,0.54,96.26,14.17
2020-08-20 19:00:00,35.55,48.31,17.95,2.87,0.54,22.88,13.23
2020-08-20 20:00:00,33.74,44.88,20.52,10.48,0.54,53.62,13.38
2020-08-20 21:00:00,35.52,43.67,14.15,15.4,0.53,65.82,9.08
2020-08-20 22:00:00,35.54,43.95,24.45,8.12,0.53,62.15,12.19
2020-08-20 23:00:00,30.23,43.73,24.56,8.32,0.55,49.53,17.26
2020-08-21 00:00:00,29.27,44.61,27.02,5.93,0.54,43.89,18.87
2020-08-21 01:00:00,26.72,51.32,20.69,3.83,0.54,50.73,20.08
2020-08-21 02:00:00,28.06,52.69,18.9,6.16,0.54,43.3,20.65
2020-08-21 03:00:00,26.73,51.6,12.88,6.17,0.54,40.09,21.3
2020-08-21 04:00:00,26.05,53.05,9.12,3.88,0.53,43.41,21.54
2020-08-21 05:00:00,22.73,49.89,6.31,3.18,0.54,48.32,21.62
2020-08-21 06:00:00,22.25,50.48,11.27,6.49,0.55,43.69,22.32
2020-08-21 07:00:00,21.34,51.27,14.9,6.69,0.53,40.47,22.81
2020-08-21 08:00:00,36.5,46.69,13.57,4.05,0.55,46.56,21.41
2020-08-21 09:00:00,22.41,48.45,18.23,4.54,0.54,49.54,20.74
2020-08-21 10:00:00,26.56,48.55,11.58,6.45,0.54,45.14,21.93
2020-08-21 11:00:00,25.23,46.3,20.05,8.99,0.54,46.17,20.32
2020-08-21 12:00:00,151.85,40.45,13.87,5.68,0.55,52.18,18.61
2020-08-21 13:00:00,97.55,38.41,22.6,5.47,0.54,60.77,19.08
2020-08-21 14:00:00,37.99,49.58,13.93,3.52,0.54,54.71,18.9
2020-08-21 15:00:00,22.28,52.92,13.65,,0.53,55.19,18.24
2020-08-21 16:00:00,21.66,40.89,20.75,5.62,0.53,54.49,18.57
2020-08-21 17:00:00,23.22,37.56,12.32,5.27,0.55,59.34,18.43
2020-08-21 18:00:00,25.64,48.27,16.13,5.3,0.54,53.13,17.43
2020-08-21 19:00:00,29.16,39.62,21.91,4.96,0.55,49.07,15.85
2020-08-21 20:00:00,37.15,32.14,13.96,7.69,0.55,22.49,12.71
2020-08-21 21:00:00,39.8,34.33,12.78,8.66,0.54,60.4,15.42
2020-08-21 22:00:00,30.4,38.23,16.36,8.69,0.53,48.81,19.12
2020-08-21 23:00:00,27.87,45.77,20.09,4.08,0.54,47.73,21.6
2020-08-22 00:00:00,18.71,49.04,26.61,7.59,0.53,52.52,24.01
2020-08-22 01:00:00,15.3,49.86,20.61,7.71,0.53,56.94,21.68
2020-08-22 02:00:00,14.24,50.76,21.33,7.22,0.54,56.49,22.19
2020-08-22 03:00:00,12.53,51.31,16.84,8.44,0.54,49.6,22.39
2020-08-22 04:00:00,12.28,51.5,21.72,6.87,0.53,50.34,22.32
2020-08-22 05:00:00,16.5,49.57,14.61,6.74,0.54,63.84,22.17
2020-08-22 06:00:00,15.71,49.27,15.79,7.94,0.54,53.09,22.08
2020-08-22 07:00:00,15.54,48.13,22.9,8.08,0.55,50.06,21.96
2020-08-22 08:00:00,12.2,47.95,15.63,5.25,0.54,47.21,21.84
2020-08-22 09:00:00,13.82,47.4,16.79,5.39,0.55,58.42,21.85
2020-08-22 10:00:00,12.5,46.91,28.62,6.78,0.54,54.29,21.54
2020-08-22 11:00:00,13.45,47.87,18.96,6.52,0.54,49.55,19.18
2020-08-22 12:00:00,13.09,48.2,24.8,3.52,0.54,49.91,20.41
2020-08-22 13:00:00,13.15,49.66,25.84,3.25,0.55,60.32,20.82
2020-08-22 14:00:00,11.5,48.54,31.12,7.8,0.54,50.78,21.47
2020-08-22 15:00:00,11.45,41.09,23.45,11.38,0.54,51.62,21.63
2020-08-22 16:00:00,12.64,38.38,25.71,5.03,0.54,56.51,19.82
2020-08-22 17:00:00,14.62,38.4,23.03,5.01,0.55,62.49,20.27
2020-08-22 18:00:00,15.87,38.77,20.0,3.84,0.54,55.21,20.98
2020-08-22 19:00:00,13.87,37.85,24.75,4.39,0.54,59.8,20.82
2020-08-22 20:00:00,16.46,35.56,37.77,6.17,0.54,58.64,20.44
2020-08-22 21:00:00,17.96,39.55,37.95,5.1,0.54,67.78,20.92
2020-08-22 22:00:00,17.21,39.43,31.13,5.14,0.55,67.31,21.06
2020-08-22 23:00:00,17.22,38.83,46.92,3.96,0.55,59.1,21.34
2020-08-23 00:00:00,16.34,37.96,34.43,1.85,0.55,59.83,21.88
2020-08-23 01:00:00,15.6,38.69,42.78,0.76,0.55,71.05,22.34
2020-08-23 02:00:00,16.1,39.18,26.07,5.16,0.55,57.95,22.42
2020-08-23 03:00:00,17.64,38.23,25.41,6.08,0.54,53.5,22.13
2020-08-23 04:00:00,17.18,37.94,16.34,4.85,0.55,44.81,21.98
2020-08-23 05:00:00,16.98,38.84,17.44,4.58,0.55,55.16,21.92
2020-08-23 06:00:00,14.83,38.3,21.95,5.53,0.55,45.42,21.05
2020-08-23 07:00:00,15.12,36.32,14.3,5.18,0.54,41.93,21.18
2020-08-23 08:00:00,14.47,38.31,8.53,3.52,0.53,45.14,20.63
2020-08-23 09:00:00,15.62,38.76,9.29,2.58,0.55,54.13,21.03
2020-08-23 10:00:00,15.78,37.62,13.27,6.76,0.55,49.02,21.09
