Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NOx (ppb),CO (mg/m3),Ozone ()
2020-05-17 12:00:00,114.07,84.43,25.15,0.76,60.45
2020-05-17 13:00:00,89.53,49.03,24.01,0.64,57.57
2020-05-17 14:00:00,93.2,45.34,23.45,0.67,55.87
2020-05-17 15:00:00,95.11,53.36,23.3,0.67,53.73
2020-05-17 16:00:00,90.95,39.95,23.68,0.68,52.06
2020-05-17 17:00:00,83.32,37.37,23.48,0.62,48.79
2020-05-17 18:00:00,84.33,37.51,24.27,0.58,43.2
2020-05-17 19:00:00,105.1,34.18,28.55,0.62,38.13
2020-05-17 20:00:00,219.9,42.95,25.53,0.68,37.91
2020-05-17 21:00:00,167.19,40.58,26.39,0.7,29.83
2020-05-17 22:00:00,153.46,44.16,27.06,0.72,25.03
2020-05-17 23:00:00,125.54,42.59,27.29,0.71,21.1
2020-05-18 00:00:00,105.14,47.99,27.35,0.79,19.85
2020-05-18 01:00:00,100.51,68.21,29.95,0.97,16.65
2020-05-18 02:00:00,132.41,87.21,29.21,1.0,12.48
2020-05-18 03:00:00,146.76,96.84,31.04,1.03,11.02
2020-05-18 04:00:00,176.21,112.76,36.0,1.02,9.78
2020-05-18 05:00:00,206.96,138.2,33.93,1.04,10.6
2020-05-18 06:00:00,177.62,118.01,33.1,0.95,12.64
2020-05-18 07:00:00,134.23,107.22,34.35,0.94,10.5
2020-05-18 08:00:00,137.01,93.37,37.03,0.86,18.1
2020-05-18 09:00:00,156.22,70.21,31.68,0.83,31.23
2020-05-18 10:00:00,150.4,70.29,29.34,0.73,40.66
2020-05-18 11:00:00,176.3,88.77,30.13,0.76,54.74
2020-05-18 12:00:00,172.02,81.83,27.96,0.65,56.94
2020-05-18 13:00:00,141.84,62.75,33.26,0.57,53.74
2020-05-18 14:00:00,105.44,54.72,27.19,0.51,55.34
2020-05-18 15:00:00,102.04,40.23,28.16,0.45,50.83
2020-05-18 16:00:00,86.03,36.42,30.83,0.47,50.88
2020-05-18 17:00:00,100.74,39.25,24.84,0.46,55.87
2020-05-18 18:00:00,90.16,24.51,24.99,0.44,53.73
2020-05-18 19:00:00,95.03,34.6,25.93,0.49,49.92
2020-05-18 20:00:00,92.25,36.0,28.06,0.57,39.63
2020-05-18 21:00:00,110.2,46.87,29.85,0.69,32.25
2020-05-18 22:00:00,132.96,56.41,29.36,0.71,24.6
2020-05-18 23:00:00,122.61,45.66,29.08,0.65,18.3
2020-05-19 00:00:00,109.71,51.43,30.5,0.73,16.36
2020-05-19 01:00:00,118.9,63.29,32.14,0.81,12.07
2020-05-19 02:00:00,142.92,77.46,31.61,0.88,11.72
2020-05-19 03:00:00,161.85,91.76,32.97,1.01,8.22
2020-05-19 04:00:00,194.95,116.35,36.31,1.12,5.55
2020-05-19 05:00:00,235.16,136.24,36.63,1.16,4.91
2020-05-19 06:00:00,247.24,152.23,37.13,1.15,4.93
2020-05-19 07:00:00,217.22,137.32,36.89,1.18,5.56
2020-05-19 08:00:00,248.5,149.03,50.51,1.33,10.31
2020-05-19 09:00:00,329.01,198.44,44.24,1.35,30.31
2020-05-19 10:00:00,194.48,132.9,28.24,0.8,42.17
2020-05-19 11:00:00,69.41,44.87,25.95,0.67,47.65
2020-05-19 12:00:00,103.7,56.25,26.89,0.77,59.1
2020-05-19 13:00:00,138.47,54.11,27.38,0.77,58.52
2020-05-19 14:00:00,131.01,59.44,29.53,0.83,61.61
2020-05-19 15:00:00,101.16,39.27,25.69,0.7,54.14
2020-05-19 16:00:00,71.6,23.36,33.7,0.68,43.96
2020-05-19 17:00:00,76.15,23.51,27.63,0.69,52.07
2020-05-19 18:00:00,100.19,28.39,30.12,0.7,46.87
2020-05-19 19:00:00,175.97,30.1,25.71,0.68,49.15
2020-05-19 20:00:00,111.62,29.36,30.2,0.8,41.44
2020-05-19 21:00:00,139.22,46.51,34.89,1.19,36.11
2020-05-19 22:00:00,172.8,77.25,33.06,1.2,27.82
2020-05-19 23:00:00,161.52,85.45,34.4,1.37,21.84
2020-05-20 00:00:00,158.94,90.82,34.54,1.33,20.56
2020-05-20 01:00:00,131.38,78.36,32.31,1.09,22.72
2020-05-20 02:00:00,120.65,69.32,30.78,0.97,21.8
2020-05-20 03:00:00,122.48,61.88,30.27,1.01,16.36
2020-05-20 04:00:00,137.41,70.97,32.47,1.14,12.94
2020-05-20 05:00:00,209.57,112.63,33.17,1.3,11.0
2020-05-20 06:00:00,236.54,170.39,34.71,1.38,10.35
2020-05-20 07:00:00,239.82,181.33,34.79,1.3,11.02
2020-05-20 08:00:00,236.41,165.65,35.55,1.24,18.77
2020-05-20 09:00:00,217.27,126.11,32.24,1.09,35.58
2020-05-20 10:00:00,155.03,107.82,30.71,0.91,50.1
2020-05-20 11:00:00,101.08,67.58,29.0,0.81,57.35
2020-05-20 12:00:00,81.63,45.28,27.58,0.78,61.97
2020-05-20 13:00:00,82.82,48.33,28.89,0.75,57.39
2020-05-20 14:00:00,95.9,46.44,31.47,0.75,56.52
2020-05-20 15:00:00,95.91,36.85,30.87,0.67,55.56
2020-05-20 16:00:00,105.34,40.54,27.38,0.65,58.65
2020-05-20 17:00:00,116.34,44.97,29.69,0.7,55.97
2020-05-20 18:00:00,89.29,24.65,31.36,0.71,50.64
2020-05-20 19:00:00,78.41,22.8,29.47,0.72,48.97
2020-05-20 20:00:00,98.44,23.47,28.83,0.81,44.2
2020-05-20 21:00:00,130.85,33.42,29.25,0.94,40.03
2020-05-20 22:00:00,137.0,43.91,28.35,1.0,40.48
2020-05-20 23:00:00,158.34,53.73,28.67,1.05,39.37
2020-05-21 00:00:00,164.25,63.72,31.28,1.07,33.85
2020-05-21 01:00:00,160.43,62.89,28.99,1.06,34.53
2020-05-21 02:00:00,154.83,63.61,30.04,1.07,30.59
2020-05-21 03:00:00,153.5,59.75,28.75,1.06,33.8
2020-05-21 04:00:00,136.93,58.29,28.73,1.04,32.47
2020-05-21 05:00:00,128.62,58.58,29.01,1.05,28.34
